,description_en
7144,"Enterprises holding or using copyrights, by copyright size group and selected industry group, December 2010"
7285,"Survey of innovation and business strategy, multinational enterprises among competitors for highest selling good or service in main market, by North American Industry Classification System (NAICS) and enterprise size, all surveyed industries"
2902,"Canada is the world’s fifth largest producer of natural gas and accounts for around five per cent of global production. Natural gas production in Canada is predominantly from the Western Canadian Sedimentary Basin in British Columbia, Alberta, and Saskatchewan, although other gas is produced from offshore Nova Scotia and smaller amounts are produced in Ontario, New Brunswick, and Nunavut. While Canadian production of conventional natural gas has been declining, production of Canadian unconventional natural gas has been rising. Development of unconventional resources like tight gas is technologically challenging and companies are increasingly using horizontal drilling and hydraulic fracturing to create economically viable wells. Canadian natural gas supply currently exceeds domestic consumption. Canada’s natural gas markets are heavily integrated with those of the United States and Canada exports its surplus natural gas to the U.S. while importing smaller amounts from the U.S. into Central Canada in return. While some companies have proposed exporting natural gas to overseas markets by liquefying it (liquefied natural gas or LNG), any projects that are actually built are not likely to be operational until towards the end of the decade. The National Energy Board regulates the export and import of natural gas. Export orders or licenses are required to export natural gas from Canada. Holders of export authorizations report monthly on their export activities to the Board."
5679,"Adult correctional services, average counts of offenders in federal programs"
3032,"The administrative features of the CanVec series includes geopolitical regions (international, territorial and provincial), aboriginal lands, municipal boundaries and populated place names. A wide selection of attributes describe the data. The CanVec multiscale series is available as prepackaged downloadable files and by user-defined extent via a Geospatial data extraction tool."
10187,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
7574,"Mammogram obtained within the previous two years, by age group, women aged 50 to 69 years, Canada, provinces, territories, health regions (January 2000 boundaries) and peer groups"
7828,"Labour force survey estimates (LFS), by immigrant status, country of birth, sex and age group, Canada, 3-month moving average, unadjusted for seasonality"
8847,"Socioeconomic overview of the farm population, number of operators per farm by sources of operator total income and sex"
10523,"Budgetary Expenditures by Standard Object of Expenditure: This table shows the forecast of total expenditures by Standard Object, which includes the types of goods or services to be acquired, or the transfer payments to be made and the revenues to be credited to the vote. "
3380,"The Conditional Release Grant Rate dataset provides information on the number of conditional releases granted/directed/continued/approved/authorized and the number of conditional releases denied/not directed/not approved/not authorized.  Decisions are sorted according to location and final decision. Items found in this dataset include, among others, jurisdiction, decision purpose, decision type, sentence type, review type, race, gender and offence type."
6770,Canadian students' ability to talk to their teachers about the things that bother them
1158,"Imports of dairy products into Canada are subject to controls under Canada’s Export and Import Permits Act (EIPA). In this dataset , will find information on the administration of Canada's import controls on those commodities."
2124,"Monthly total and multi-year ice sea ice area flux between the Canadian Arctic Archipelago and the Arctic Ocean from 1997 to 2013. Data is available at the M'Clure Strait and Queen Elizabeth Islands exchange gates for the months of May to November.  Ref: Howell, S. E. L., T. Wohlleben, M. Dabboor, C. Derksen, A. Komarov, and L. Pizzolato (2013), Recent changes in the exchange of sea ice between the Arctic Ocean and the Canadian Arctic Archipelago, J. Geophys. Res. Oceans, 118, 3595–3607, doi:10.1002/jgrc.20265;  and Howell, S. E. L., C. Derksen, L. Pizzolato, and M. Brady (2015), Multiyear ice replenishment in the Canadian Arctic Archipelago: 1997–2013, J. Geophys. Res. Oceans, 120, 1623–1637, doi:10.1002/2015JC010696."
4031,"Birth-related indicators (low and high birth weight, small and large for gestational age, pre-term births), by sex, three-year average, Canada, provinces, territories, census metropolitan areas and metropolitan influence zones"
8951,Summary table. Find data on diabetes by province and territory by year. Number of persons. STC
5813,"University expenditures, by type of expenditure, Canada and provinces"
3896,A list generated by Canadian General Standards Board for new standard's work in order to be in compliance with the national standards system.
449,Provides details on the inventory of IT equipment.
7899,"Trust companies, statements of estimated assets, liabilities and shareholders' equity"
10367,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
6778,"Student response to question: How much pressure do you feel because of the work you have to do at school, by sex, age group and selected countries"
4036,"Age-specific marriage rates per 1,000 unmarried females, all marriages, Canada"
2878,"The Board monitors and enforces compliance with requirements concerning the safety and protection of employees, the public, and the environment, as they may be affected throughout the life of a project (e.g. during construction, operation and abandonment).  An NEB inspection verifies compliance status of a pipeline, construction project or facility at a single point in time. This dataset includes information about non compliances that have been identified during inspections."
5542,"Summary table. Find data on certificates granted to registered apprentices and trade qualifiers, by major trade group, by year. STC"
2500,List of meetings between lobbyists and EDSC Designated Public Office Holders.
3875,"The object classification is a field of the government-wide coding block that identifies the type of goods or services acquired, the transfer payments made, the source of revenue or the cause of increases or decreases in assets and liabilities. The object information provides: •A method for classifying and coding transactions to permit the reporting of information about the
nature of transactions in the Estimates and in the Public Accounts; •A standard classification of transactions for internal departmental analysis and central management purposes; and •The basis used by Statistics Canada to determine and report more accurately the impact of government revenues and expenditures on the rest of the economy. In addition, the object coding provides a repository of government-wide information, which can be used by central agencies without requiring departments and agencies to respond to numerous individual requests."
1578,"Data set contains information on the commercial Arctic charr landings from the Nain fishing region of north Labrador. Data include: name of fisherperson, licence number, area and date fish were caught, weight of fish landed, and sometimes the number of fish caught are also recorded on the files. Data were coded by DFO from commercial purchase slip records issued by the fish plant. Purpose: Information on commercial landings of Arctic charr are used directly in assessing the status of stocks, and examining the effects of exploitation on the population dynamics of north Labrador charr populations. Data are used along with commercial fish sampling information to compile stock-specific catch-at-age and weight-at-age information."
3664,This dataset shows advertising expenditures in millions of dollars year over year.
2833,"This file contains data collected during a 1977 survey of adults on the consumption of prescribed medications. These datasets have been converted from their legacy file structures and encoding schemes so they can be used by contemporary computers that are based upon the ASCII character-encoding scheme. Each dataset will require specialized software such as a statistical tool, to interpret and analyze the content in each file. The attached codebook describes the file’s structure and defines the variables contained in each field. Each code book is a compilation of the summary description of the dataset as provided by the creating department.  As such, it is available in English only."
3194,Poplar plant tissue bank
5933,"Positions of members of Payments Canada and Bank of Canada operations, Bank of Canada"
10603,The Delegates Conference Registration Application (DCRA Ext) is used by Transport Canada Business Partners to indicate their intention of attending the 2016 Delegates Conference via an on-line registration page.
8100,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
9627,"Deaths, by cause, Chapter III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50 to D89), age group and sex, Canada"
834,"List of the consultation activities taken with aboriginal groups related to various projects, including the date, representative, and a description of the consulation activity"
8883,"Consumer Price Index, food, by province"
4170,Crude oil and equivalent supply and disposition
8078,The Population Ecumene Census Division Cartographic Boundary File contains a generalised population ecumene based on census population density data with at least one ecumene polygon appearing within every census division. This file can be used to produce small-scale thematic maps of statistical data.
8895,"Federal general elections, by electors, ballots cast and voter participation"
5945,"Taxi and limousine service industry, revenues and expenses, by province and territory"
2919,Provides information on the reclassification of occupied positions by department and agencies on a quarterly basis.
8020,"Canadian vehicle survey, vehicle-kilometres and passenger-kilometres for trucks 4.5 tonnes to 14.9 tonnes, by type of trip"
125,"Farm cash receipts represent the cash income received from the sale of agricultural commodities as well as direct program payments. Farm market receipts are cash receipts from the sales of grain and field crops, fruits, vegetables, floriculture and nursery products, maple and forest products, livestock, milk, poultry, eggs, fur and honey."
10213,Provides a statistical overview of various geographic areas based on a number of detailed variables.
4415,"Households and the environment survey, homegrown fruit, herbs, vegetables and flowers, Canada, provinces and census metropolitan areas (CMA)"
3355,"The Conditional Release Appeal Decisions dataset provides information on the number and results of decisions rendered by the PBC Appeal Division during a given period. Decisions are sorted according to location and final decision. Items found in this dataset include, among others, jurisdiction, decision purpose, sentence type, review type, race, gender and offence type."
6632,"Distribution of farm families and average total income by typology group, unincorporated sector"
7129,"Contact with health professionals about mental health, by age group and sex, household population aged 12 and over, territories"
4617,"International transactions in securities, portfolio transactions with non-residents in Canadian money market, foreign bonds, and foreign stocks, by type"
6910,Ordinary sales results of life insurance in Canada
9432,"Historical releases of merchandise imports and exports, customs and balance of payments basis for all countries, by seasonal adjustment and North American Product Classification System (NAPCS)"
6645,"Survey of innovation and business strategy, business activities undertaken, by North American Industry Classification System (NAICS) and enterprise size, all surveyed industries"
10679,Civil Aviation Flying Program Projected Assignments
10743,"CCARCS is a national web-based system used to issue and maintain aircraft registration marks, collect aircraft identification data, maintain name and address of the registered owner and other technical data, for all civil aircraft which are registered in Canada.  CCARCS provides direct support to TC essential services of Civil Aviation: National Operations, International Operations, Standards and the five Civil Aviation Regions."
10137,"The Road Network File is a digital representation of Canada's road network, containing information such as street names, types, directions and address ranges. "
3659,A list of Canadian General Standards Board newly published standards in order to be in compliance with the national standards system.
5670,"Land cover by category, Canada, major drainage areas and sub-drainage areas"
1756,"Extractable organohalogens were measured in muscle, testis, heart and brain from cod (Gadus morhua) taken from St. Chad's, Little Catalina, Hopeall, LaScie, Ferryland, Petty Harbour, and  offshore Newfoundland location. Extractable organo chlorine, bromine and iodine were measured by neutron activation analysis. Purpose: For those interested in contaminant research."
1985,"This dataset contains the Manual of Abbreviations for National Defence (DND) and the Canadian Armed Forces (CAF), is issued on authority of the Chief of Defence Staff.  The aim of the Manual of Abbreviations is to give a list of all abbreviations used in DND/CAF.  "
2343,"Polychlorinated dibenzodioxins (dioxins) and polychlorinated dibenzofurans (furans) are highly persistent compounds. These substances are listed on the List of Toxic Substances of CEPA 1999. The largest source of dioxins and furans in Canada is the large-scale burning of municipal and medical waste. Other major sources include production of iron and steel, backyard burning of household waste, fuel burning, wood burning, electrical power generation, and tobacco smoke.

The National Pollutant Release Inventory (NPRI) is Canada's public inventory of pollutant releases (to air, water and land), disposals and transfers for recycling. Under the authority of the Canadian Environmental Protection Act, 1999 (CEPA 1999), owners or operators of facilities in Canada that meet the published reporting requirements are required to report to the NPRI.  Reported pollutants include toxic substances, air pollutants and other substances of concern.

NPRI data is available for the years 1993 - 2013 in a number of formats including online query tools, downloadable datasets (along with corresponding database structure tables) and map layers.

There are important factors that should be considered prior to the use and interpretation of NPRI data.  Additional information is available on the NPRI web site."
7418,"Balance of international payments, financial account"
7866,"Mortality and potential years of life lost, by selected causes of death and sex, three-year average, Canada, provinces, territories, health regions and peer groups"
10028,"Canadian vehicle survey, vehicle-kilometres for buses, by type of vehicle and purpose of trip (specific to vehicle type)"
8379,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
4002,"Foreign exchange rates, United States"
3133,Diagnostic database for forest pathogens.
9910,"Building permits, by type of structure and area, seasonally adjusted"
2227,"This map shows the projected average change in mean temperature for 2080s (2081-2100), with respect to the reference period of 1986-2005, based on CMIP5 multi-model ensemble results for RCP2.6 (for the 50th percentile of the distribution of the CMIP5 ensemble).

For more maps on projected change, please visit the Canadian Climate Data and Scenarios (CCDS) site: http://ccds-dscc.ec.gc.ca/index.php?page=download-cmip5."
8670,"The Road Network File is a digital representation of Canada's road network, containing information such as street names, types, directions and address ranges. "
1094,The indicator represents the total number of Preliminary Assessment reports completed on-time per the total number of Preliminary Assessment reports that were due for the reporting period (within 5 working days of sentence commencement date).
6562,"Households and the environment survey, parks and green spaces, by household income, Canada"
8166,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
10797,Information regarding requests submitted under the Access to Information Act for a fiscal year.
9890,"Survey of innovation and business strategy, importance of obstacles when relocating or outsourcing business activities to another country, by North American Industry Classification System (NAICS) and enterprise size, all surveyed industries"
9207,"Engineering services, sales by type of client based on the North American Industry Classification System (NAICS)"
1121,"Total number of registrations for Canada School of Public Service learning activities by title, code, delivery type and fiscal year. 
Data as of September 15, 2017. "
1297,"The Canadian Atlantic Storm Project (CASP) provided an accurate set of open-ocean wave spectra in a variety of conditions from an array of 9 wave buoys (3 directional, 6 non-directional) along a 30-km line offshore from Martinique Beach, NS. A large set of high-quality wave spectra was collected in conjunction with extensive meteorological information. The data set is unique in that a large onshore swell component was normally present.
PURPOSE: To study waves in Coastal Nova Scotia area."
4829,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
5260,"Internet use by individuals, by government on-line activity"
6522,"Retail trade, sales by trade group based on the North American Industry Classification System (NAICS)"
7255,"Civil court survey, general civil cases by level of court and type of action"
9593,"Potential years of life lost, by selected causes of death (ICD-10) and sex, population aged 0 to 74, Canada, provinces and territories"
1861,Images of wolffish dens & surrounding habitat in Newfoundland waters.
2529,"This report is updated quarterly and indicates the existing staffing pools, by classification group and level"
5613,"National balance sheet, financial government business enterprises"
296,"One meter hillshade generated from bare earth DEM.LiDAR Services International (LSI), a Calgary-based LiDAR company completed an airborne LiDAR survey for the Redberry Lake Biosphere Reserve (RLBR) and Agriculture and Agri-Foods Canada (AAFC) in October 2011. The project involved collection of LiDAR data for a 362.97 km2 block area, 252.77 km2 for Redberry Lake and 110.20 km2 for AAFC northwest of Saskatoon, SK."
8753,Summary table. Find data on life expectancy at birth and at age 65.STC
2288,"Aquatic biomonitoring data including benthic invertebrates, algal biomass, fish, water chemistry, and appropriate supporting habitat information collected to provide a direct measure of biotic populations and communities in relation to benchmark or reference conditions in order to assess the health of aquatic ecosystems are included in this dataset. Biomonitoring complements traditional physical/chemical monitoring, and can measure impacts of cumulative stressors in the aquatic environment, including from chemical interactions, contaminant pulses, or unknown contaminants that are difficult to capture with routine chemical sampling. Other stressors that may be captured by biological monitoring include the presence of exotic species, habitat degradation in the water body or surrounding land, climate change, and fluctuations in water quantity."
8849,Average income after tax by economic family types
7991,"Merchandise imports and exports, customs and balance of payments basis for all countries, by seasonal adjustment, price and volume indexes, weighting and North American Product Classification System (NAPCS)"
10273,"Families and Households Highlight Tables, Young adults in the parental home for the population aged 20 to 29 in private households, census divisions, 2011 census - English version. Provides information highlights by topic via key indicators for various levels of geography."
3814,Number of Media Requests Received at Public Services and Procurement Canada
4499,"Business conditions survey, Canadian manufacturing industries, by province"
4948,"For-hire motor carrier freight services price index, by North American Industry Classification System (NAICS)"
9604,"Canadian vehicle survey, passenger-kilometres for vehicles up to 4.5 tonnes by vehicle group and purpose of trip"
2528,This Org chart lists senior level staff on the external FedDev Ontario website
5869,Travel price index
1106,The indicator represents the total number of Preliminary Assessment reports completed on-time per the total number of Preliminary Assessment reports that were due for the reporting period (within 5 working days of sentence commencement date).
5468,"Unmet health care needs, by age group and sex, household population aged 12 and over, Canada, provinces, territories, health regions (January 2000 boundaries) and peer groups"
7875,"Survey of innovation and business strategy, changes resulting from product innovation introduced, by North American Industry Classification System (NAICS) and enterprise size, all surveyed industries"
8341,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
8191,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
9009,"Energy fuel consumption of the manufacturing sector, by subsectors"
9774,"Gross domestic product (GDP) at basic prices, special industry aggregations based on the North American Industry Classification System (NAICS)"
2580,A series of health-related data sets from various quantitative public opinion research studies. 
9630,"Consumer Price Index (CPI), 2001 basket content"
9722,"Capital and repair expenditures, industry sector 54, professional, scientific and technical services"
10460,"The boundary files portray the geographic limits used for census dissemination. They are available for download in two types: cartographic and digital. Cartographic boundary files depict the geographic areas using only the shorelines of the major land mass of Canada and its coastal islands. Digital boundary files depict the full extent of the geographic areas, including the coastal water area. The files provide a framework for mapping and spatial analysis using commercially available geographic information systems (GIS) or other mapping software."
1421,"Stomach contents from 4Vn Sentinel Surveys ( Sydney Bight ) from 1994 to present.
PURPOSE: Prey - predator relationship study."
1766,"The objective of the study was to determine the impact (if any) of a salmon counting fence (consisting of plastic and metal parts) on the water quality of the Campbellton River. Water samples were collected at various times during the year 2001 from the Campbellton River, at three sites (above, below and at the fence or intake). Water samples were analysed by ICP-MS (Sciex Elan 6000) for trace elements (K, Na, Li, Mg, Al, Ca, Si, V, Cr, Mn, Fe, Co, Ni, Cu, Zn, As, Sr, Mo, Cd, Ba, Pb). Purpose: For those interested in contaminant research."
5658,Annual admissions to shelters
8872,Summary table. Find data on body mass index (BMI) for adults by province and territory by year. Number of persons.STC
2576,"The data extract is a series of compressed ASCII text files of the full data set contained in the Canada Vigilance Adverse Reaction Online Database. It is intended for users who are familiar with database structures and setting up their own queries. Find details on the data structure required for the data file in the Canada Vigilance Adverse Reaction Online Database - Data Structure. In order to use the data, the file must be loaded into an existing database or information system provided by the user. The Canada Vigilance Adverse Reaction Online Database contains information about suspected adverse reactions (also known as side effects) to health products, captured from adverse reaction reports submitted to Health Canada by consumers and health professionals, who submit reports voluntarily, as well as by market authorization holders (manufacturers and distributors), who are required to submit reports according to the Food and Drugs Regulations. Information concerning vaccines used for immunization have only been included in the database since January 1, 2011. Indication data has recently been added to the data extract files and the Detailed Adverse Reaction Report. Indication refers to the particular condition for which a health product was taken. For example, diabetes is an indication for insulin. Health products are often authorised for use in treating more than one indication. Note: The database cannot be used on its own to evaluate a health product's safety profile. It does not provide conclusive information on the safety of health products, and is not a substitute for medical advice. Should you have an issue of medical concern, consult a qualified health professional. "
6145,International oil production and proved reserves
9841,"Survey of innovation, selected service industries, percentage of business units that carried out certain types of geomatics activities"
818,Uncompleted checklists for use in inspections of Class I and Class II nuclear facilities.
7548,"Retail trade, sales by trade sector based on the North American Industry Classification System (NAICS)"
9388,"Lumber production, shipments and stocks, by Canada and provinces"
7406,Farm cash receipts from dairy products
2896,"Canada is the world’s fifth largest producer of natural gas and accounts for around five per cent of global production. Natural gas production in Canada is predominantly from the Western Canadian Sedimentary Basin in British Columbia, Alberta, and Saskatchewan, although other gas is produced from offshore Nova Scotia and smaller amounts are produced in Ontario, New Brunswick, and Nunavut. While Canadian production of conventional natural gas has been declining, production of Canadian unconventional natural gas has been rising. Development of unconventional resources like tight gas is technologically challenging and companies are increasingly using horizontal drilling and hydraulic fracturing to create economically viable wells. Canadian natural gas supply currently exceeds domestic consumption. Canada’s natural gas markets are heavily integrated with those of the United States and Canada exports its surplus natural gas to the U.S. while importing smaller amounts from the U.S. into Central Canada in return. While some companies have proposed exporting natural gas to overseas markets by liquefying it (liquefied natural gas or LNG), any projects that are actually built are not likely to be operational until towards the end of the decade. The National Energy Board regulates the export and import of natural gas. Export orders or licenses are required to export natural gas from Canada. Holders of export authorizations report monthly on their export activities to the Board."
4367,"Social support, by age group and sex, household population aged 12 and over, selected provinces, territories and health regions (June 2005 boundaries)"
4193,"Age-standardized 180-day net survival rate for all stroke (ICD-10), by sex, population aged 45 and over, selected provinces"
5621,Retail commodity survey based on the North American Industry Classification System (NAICS)
8673,"This table provides statistical information about people in Canada by their demographic, social and economic characteristics as well as provide information about the housing units in which they live."
5220,"Industry price indexes for non-metallic mineral products and petroleum and coal products, by regions"
3446,"To show the locations of campsites on Parks Canada sites, campsites administered by Parks Canada, or other campsites of interest to Parks Canada."
1098,Provides data on Urinalysis test results
3239,This product provides building information of Canada Lands located in the Atlantic Provinces. The building information is derived from survey field work. The data is available in Shapefile format.
2267,"Long-term freshwater quality monitoring data for over 19 sites in the Lower Mackenzie River Basin for the past 15 years or longer for nutrients, metals, major ions, and other physical-chemical variables are included in this dataset. Monitoring is conducted by Environment and Climate Change Canada (ECCC) and in collaboration with Parks Canada to assess water quality status and long-term trends, detect emerging issues, establish water quality guidelines and track the effectiveness of remedial measures and regulatory decisions."
3352,"The Conditional Release Appeal Decisions dataset provides information on the number and results of decisions rendered by the PBC Appeal Division during a given period. Decisions are sorted according to location and final decision. Items found in this dataset include, among others, jurisdiction, decision purpose, sentence type, review type, race, gender and offence type."
8366,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
5918,Value of established natural gas reserves
3991,"United States Gross National Product (GNP), seasonally adjusted at annual rates"
6141,"Farm input price index, animal production"
9971,"Historical statistics, population in incorporated centres, by size groups"
2263,"This dataset contains 21 statistics (including extreme indices; see definition attached) of wind and waves calculated from hourly reanalysis data of historical surface winds and ocean surface waves for the Canadian East Coast for the period 1954-2015 (each statistic has an annual, 4 seasonal, and 12 monthly values). The hourly wind and waves data may be obtained upon request from MSC Climate Services on a cost-recovery basis (data handling/extraction fee).  Reference: (1) Swail, V. R., and A. T. Cox, 2000: On the use of NCEP/NCAR reanalysis surface marine wind fields for a long-term North Atlantic wave hindcast. J. Atmos. Oceanic Technol., 17, 532–545. (2) Wang and Swail (2001): Trends of Atlantic Wave Extremes as Simulated in a 40-Yr Wave Hindcast Using Kinematically Reanalyzed Wind Fields. J. Clim. 15, 1020-1035."
9243,"Upper income limit, income share and average of market, total and after-tax income by economic family type and income decile, Canada and provinces"
8628,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
9996,"Body mass index (BMI), by age group and sex, household population aged 18 and over excluding pregnant women, Canada, provinces, territories, health regions (January 2000 boundaries) and peer groups"
7538,"Survey of innovation, logging and manufacturing industries, development of new or significantly improved processes"
10754,Delineation of a 100L propane tank projectile fragments from a Boiling Liquid Expanding Vapor Explosion (BLEVE) along the Isle-aux-Coudres ferry route.
2376,"The PMIS Central repository of project information for approved projects in ESDC.  The dataset includes project information, gating and project delivery documentation, risk/issue and change logs and the project schedule.  It will also house an project knowledge repository for all archived projects. 
PMIS-Project Server resides in a SQL database."
1240,"This dataset contains all releases of juvenile salmon and trout from Salmonid Enhancement Program facilities in British Columbia and Yukon. The data includes release stage, location, date, average weight and any coded wire tags or marks that were placed on the fish prior to release."
4035,"Census of Agriculture, farms classified by area in crops and summerfallow (excluding Christmas tree area)"
9091,"Income of immigrants, by world area, sex, immigrant admission category, education qualifications, knowledge of official languages and landing year for Quebec, tax year 2013"
2380,CPP Contributors Tables provide historical statistics (by year) on the number of contributors by place of residence and the distribution of contributors by earnings.
10037,"Labour force survey estimates (LFS), by census metropolitan area based on 2011 Census boundaries, 3-month moving average, seasonally adjusted and unadjusted"
8240,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
9230,"Wool, production and supply"
10641,Web based application linked to an Oracle database for the purpose of producing Inspection or Audit checklists and reports to be used by Aerodrome Safety inspectors.
9842,Stocks of frozen eggs and edible dried eggs
8675,"This table provides statistical information about people in Canada by their demographic, social and economic characteristics as well as provide information about the housing units in which they live."
7792,"Regular medical doctor, by age group and sex, household population aged 12 and over, Canada, provinces, territories, health regions (June 2005 boundaries) and peer groups"
9108,"Body mass index (BMI), Canadian standard, by age group and sex, household population aged 20 to 64 excluding pregnant women, territories"
4377,Average prices for selected classes and grades of cattle
10229,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
4252,"Seniors' characteristics, by family type, age of oldest individual and source of income"
42,AAFC e-mail distribution lists contained in the PubliCentrale system.
9236,"Labour force survey estimates (LFS), by Montréal, Toronto and Vancouver census metropolitan areas based on 2006 census boundaries, seasonally adjusted and unadjusted"
8162,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
5305,"Area of major sea islands, by region"
9925,"Balance of international payments, current account, goods by principal trading partners"
5286,"Population by selected ethnic origins, by census metropolitan areas (2006 Census)"
8912,Labour force characteristics by sex and age group
6701,"Unemployment rate, by age group, Canada, provinces, health regions (January 2000 boundaries) and peer groups"
2485,"Database containing the annual business planning of the Old Age Security (OAS) processing centre, Quebec Region.
It helps to anticipate work that may be done by operations at the OAS processing centre, Quebec Region, and to do planning according to the types of activities, business lines, human resources available and established productivity targets. 
Contains data related to the types of activities, business lines according to the human resources available and productivity targets. "
1109,The indicator represents the median percentage of time served from admission to federal custody to first release for those offenders with a determinate sentence.
8576,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
4404,Travel price index
2900,"Canada is the world’s fifth largest producer of natural gas and accounts for around five per cent of global production. Natural gas production in Canada is predominantly from the Western Canadian Sedimentary Basin in British Columbia, Alberta, and Saskatchewan, although other gas is produced from offshore Nova Scotia and smaller amounts are produced in Ontario, New Brunswick, and Nunavut. While Canadian production of conventional natural gas has been declining, production of Canadian unconventional natural gas has been rising. Development of unconventional resources like tight gas is technologically challenging and companies are increasingly using horizontal drilling and hydraulic fracturing to create economically viable wells. Canadian natural gas supply currently exceeds domestic consumption. Canada’s natural gas markets are heavily integrated with those of the United States and Canada exports its surplus natural gas to the U.S. while importing smaller amounts from the U.S. into Central Canada in return. While some companies have proposed exporting natural gas to overseas markets by liquefying it (liquefied natural gas or LNG), any projects that are actually built are not likely to be operational until towards the end of the decade. The National Energy Board regulates the export and import of natural gas. Export orders or licenses are required to export natural gas from Canada. Holders of export authorizations report monthly on their export activities to the Board."
1785,"This dataset contains information on the biology and production of salmonids and limnological data for numerous lakes on the Avalon Peninsula, Newfoundland. Purpose: This is a historic database on the biology, production, and exploitation of trout populations on the Avalon Peninsula, used in the planning, development, and implementation of management strategies and for basic trout biological and ecological research."
3994,"International transactions in services, travel by category and geographical area"
5027,"Cancer incidence, by selected sites of cancer and sex, three-year average, Canada, provinces, territories and health regions (June 2005 boundaries)"
5774,"Aquaculture economic statistics, value added account"
4172,"Historical releases of wholesale trade, sales, chained dollars and price index based on the North American Industry Classification System (NAICS)"
188,"“Biomass Inventory Mapping and Analysis Tool – Business Data” provides a number of datasets related to the yield and production of residues from the agricultural and forestry industry and agricultural crops.The datasets contain agricultural residue production information (for example, straw or stover) for barley, wheat, flax, oats and corn, and crop production information for barley, wheat, flax, oats, corn, canola and soybean. They also include information about amounts of straw required for cattle bedding and feeding, the type of tillage used in an area, and the amount of residue needed for soil conservation purposes.Datasets in the series provide the yield, production and other information for the median year and 1-in-10 year and 1-in-20 year lows.The forestry inventory dataset provides information about the location and quantity of residues from the forestry industry, as well as urban wood waste and potential sites and productivity of plantations of fast-growing trees that are grown as feedstock. Forestry residues include material left at the roadside after harvesting and excess and waste materials from mills.A transportation network dataset and datasets that are used to calculate cost to harvest and transport biomass are also included in this series."
5272,"Producer price index, goods - Industrial product price indexes"
2081,"This data set is composed of a vector map situating wetland zones along the St. Lawrence River and estuary. The map is derived from detailed mapping, in raster format, produced from remote sensing data (IKONOS sensor) acquired in 2002, as part of the State of the St. Lawrence Monitoring Program. A general classification distinguished the main types of wetlands and main soil use classes on the first kilometre of the shore. The Shapefile format map is made up of a series of polygons to which the following descriptive attributes are linked: CLASS (digital code identifying the type of wetland), LEGENDE (French name of the class), LEGEND (English name of the class), SUPM2 (area in m2).
The general classification includes the following classes. 1: open water. 2: shallow open water. 3: denuded substrate. 4: low marsh. 5: low marsh co-dominated by Purple Loosestrife. 6: high marsh. 7: high marsh dominated by Common Reed. 8: high marsh co-dominated by Purple Loosestrife. 9: high marsh dominated by Reed Canarygrass. 10: Shrub swamp. 11: forested swamp. 12: harvested peatlands. 13: agriculture and meadows. 14: fallow land. 15: forest. 16: built-up area and upland. 17: clouds and shade."
6160,"Implicit price indexes, provincial gross domestic product (GDP), outside Canada"
7037,"Final demand categories, by commodity, S-level aggregation"
